,city_code,dat,popTot,popNotArab,popArab,coordinates1,coordinates2,distance
1,472,2.0,7699.0,88.0,7611.0,21052,63481,0.0
2,473,2.0,14100.0,31.0,14069.0,21607,76284,0.0
7,1342,2.0,1904.0,0.0,1904.0,19636,56105,0.0
11,1375,2.0,2023.0,2.0,2021.0,19334,56589,0.0
12,652,2.0,2835.0,2.0,2833.0,21091,74077,0.0
13,1275,1.0,468.0,468.0,0.0,23324,74908,0.0
14,679,1.0,822.0,822.0,0.0,19961,71533,0.0
15,1115,1.0,471.0,471.0,0.0,24441,77707,0.0
16,819,1.0,826.0,826.0,0.0,17573,62428,0.0
17,175,1.0,1422.0,1422.0,0.0,18808,69527,0.0
18,2052,1.0,494.0,494.0,0.0,22912,71816,0.0
19,1070,1.0,875.0,875.0,0.0,20166,62104,0.0
20,1220,1.0,263.0,263.0,0.0,22715,77149,0.0
21,182,1.0,13826.0,13824.0,2.0,18944,68643,0.0
22,1081,1.0,299.0,299.0,0.0,22781,77545,0.0
23,783,1.0,702.0,702.0,0.0,21284,63002,0.0
24,400,1.0,1807.0,1807.0,0.0,17754,60940,0.0
25,4011,1.0,725.0,725.0,0.0,27196,74774,0.0
26,3793,1.0,1923.0,1923.0,0.0,20707,68795,0.0
27,3786,1.0,237.0,237.0,0.0,24147,62075,0.0
28,1311,1.0,298.0,298.0,0.0,13619,56745,0.0
29,3759,1.0,462.0,462.0,0.0,20169,60665,0.0
30,113,1.0,272.0,272.0,0.0,22578,71719,0.0
31,1068,1.0,216.0,216.0,0.0,21997,77600,0.0
32,1123,1.0,883.0,883.0,0.0,19958,61868,0.0
33,446,1.0,1378.0,1378.0,0.0,18582,68581,0.0
34,4010,1.0,155.0,155.0,0.0,27028,78880,0.0
35,1046,1.0,407.0,389.0,18.0,14580,57199,0.0
36,2710,2.0,56108.0,44.0,56064.0,21450,71403,0.0
37,2024,2.0,1117.0,0.0,1117.0,20553,70835,0.0
38,1358,2.0,4277.0,13.0,4264.0,18867,57656,0.0
39,1108,1.0,387.0,387.0,0.0,22302,71878,0.0
40,680,1.0,849.0,848.0,1.0,19969,69743,0.0
41,31,1.0,30663.0,30455.0,208.0,16383,57979,0.0
42,1294,1.0,574.0,574.0,0.0,24212,76783,0.0
43,67,1.0,768.0,768.0,0.0,16202,60736,0.0
44,2400,1.0,36813.0,36753.0,60.0,18632,65962,0.0
45,1020,1.0,18972.0,18882.0,90.0,19271,71271,0.0
46,780,1.0,1314.0,1310.0,4.0,21458,62905,0.0
48,2012,1.0,496.0,496.0,0.0,17492,62782,0.0
49,4013,1.0,343.0,343.0,0.0,27120,77699,0.0
50,403,1.0,501.0,500.0,1.0,15454,57936,0.0
51,882,1.0,178.0,94.0,84.0,21049,73529,0.0
52,3760,1.0,8955.0,8940.0,15.0,19953,67087,0.0
53,278,1.0,533.0,533.0,0.0,21104,74459,0.0
54,565,1.0,12957.0,12927.0,30.0,18194,65899,0.0
140,1157,1.0,303.0,303.0,0.0,17820,62796,0.0
141,821,1.0,548.0,542.0,6.0,17822,60687,0.0
142,1330,1.0,2279.0,2279.0,0.0,23200,72762,0.0
143,785,1.0,892.0,892.0,0.0,21652,75698,0.0
144,850,1.0,1093.0,1093.0,0.0,19932,69934,0.0
145,804,1.0,1377.0,1377.0,0.0,19141,64919,0.0
146,797,1.0,1906.0,1905.0,1.0,18793,65441,0.0
148,338,1.0,457.0,457.0,0.0,16297,60477,0.0
149,716,1.0,534.0,534.0,0.0,19825,67982,0.0
150,77,1.0,1134.0,1134.0,0.0,25419,76987,0.0
151,294,1.0,1031.0,1025.0,6.0,22061,77423,0.0
153,1126,1.0,314.0,309.0,5.0,19604,38820,0.0
154,49,1.0,490.0,485.0,5.0,23847,73998,0.0
155,2600,1.0,52300.0,50006.0,2294.0,19417,38510,0.0
156,1336,1.0,706.0,706.0,0.0,17900,64853,0.0
157,3762,1.0,1269.0,1268.0,1.0,22921,67559,0.0
158,37,1.0,464.0,464.0,0.0,17614,60898,0.0
159,886,1.0,81.0,76.0,5.0,20911,63181,0.0
160,478,2.0,14784.0,9.0,14775.0,23071,73191,0.0
161,1339,2.0,195.0,1.0,194.0,18099,62556,0.0
162,1316,2.0,191.0,0.0,191.0,21202,71154,0.0
163,4003,1.0,398.0,398.0,0.0,27232,78740,0.0
164,1359,2.0,5876.0,17.0,5859.0,19178,57711,0.0
165,1145,1.0,537.0,537.0,0.0,17575,61777,0.0
166,330,1.0,405.0,404.0,1.0,25151,73475,0.0
167,1182,1.0,1118.0,1118.0,0.0,22085,74025,0.0
168,3579,1.0,1920.0,1920.0,0.0,23146,68228,0.0
169,3604,1.0,3098.0,3098.0,0.0,21202,61805,0.0
170,429,1.0,992.0,992.0,0.0,21628,73720,0.0
171,4017,1.0,457.0,457.0,0.0,27869,77222,0.0
172,868,1.0,308.0,304.0,4.0,20062,71295,0.0
173,285,1.0,515.0,515.0,0.0,21391,73611,0.0
174,4002,1.0,433.0,433.0,0.0,26914,74572,0.0
175,1365,1.0,546.0,546.0,0.0,19342,60408,0.0
176,41,1.0,3415.0,3414.0,1.0,19318,70156,0.0
177,1248,1.0,151.0,145.0,6.0,20078,41187,0.0
178,730,1.0,651.0,651.0,0.0,25152,76149,0.0
179,682,1.0,909.0,908.0,1.0,20658,72642,0.0
180,204,1.0,713.0,713.0,0.0,19170,69855,0.0
181,841,1.0,1200.0,1199.0,1.0,19342,67328,0.0
182,1125,1.0,418.0,418.0,0.0,25668,75753,0.0
183,3556,1.0,255.0,254.0,1.0,24378,63294,0.0
